Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42456,Crizbav,0.30214,0.3819,0.35408,0.31601,0.31741,0.30441,0.33304,0.31635,0.28424,0.30899,0.29871,0.33289,0.28555,0.27781
42753,Oras Faurei,0.38415,0.37308,0.35598,0.37816,0.43501,0.41764,0.40883,0.42571,0.40147,0.42228,0.42158,0.40042,0.39637,0.39474
42913,Bordei Verde,0.26893,0.25659,0.28332,0.26025,0.27208,0.27224,0.25536,0.26089,0.24987,0.28844,0.28846,0.29567,0.25946,0.26888
43279,Gradistea,0.20403,0.22269,0.18737,0.26715,0.22419,0.24816,0.17813,0.27409,0.28691,0.28644,0.28476,0.23628,0.2273,0.2372
43331,Oras Ianca,0.37303,0.37181,0.4155,0.40292,0.42465,0.43565,0.43363,0.38809,0.39137,0.37638,0.36945,0.38167,0.38189,0.39372
43625,Mircea Voda,0.29855,0.28044,0.31755,0.30264,0.28338,0.26767,0.26397,0.25397,0.25845,0.2801,0.27628,0.25426,0.2624,0.26264
43732,Ramnicelu,0.05632,0.14009,0.15467,0.1481,0.15412,0.17309,0.07293,0.15332,0.16325,0.1273,0.10023,0.09089,0.09208,0.10829
44140,Sutesti,0.2818,0.24304,0.25386,0.29065,0.28905,0.29352,0.29276,0.29902,0.31015,0.31935,0.30197,0.28334,0.26301,0.27451
44989,Balaceanu,0.20822,0.21218,0.20135,0.17655,0.19204,0.13084,0.1491,0.15864,0.1552,0.16256,0.21232,0.20443,0.1968,0.17502
45245,Bisoca,0.264,0.29,0.31563,0.24031,0.2792,0.26091,0.22035,0.26061,0.28666,0.28689,0.27085,0.2426,0.27303,0.23558
45334,Blajani,0.27347,0.30689,0.27712,0.34597,0.30145,0.26557,0.23637,0.25464,0.25042,0.23959,0.22117,0.22067,0.22929,0.16122
45619,Breaza,0.31413,0.2773,0.30702,0.32567,0.34813,0.36989,0.31812,0.31978,0.34594,0.30073,0.25967,0.26705,0.23598,0.21677
45753,Calvini,0.27044,0.1725,0.21993,0.201,0.21369,0.22145,0.23899,0.25961,0.2879,0.29298,0.3063,0.27842,0.23607,0.18009
46019,Cernatesti,0.33321,0.31919,0.33659,0.36332,0.38694,0.3883,0.38874,0.38474,0.36393,0.3511,0.29967,0.28532,0.26718,0.32146
47159,Largu,0.21753,0.22357,0.24476,0.25622,0.24476,0.27676,0.2783,0.26929,0.28636,0.2375,0.21569,0.25135,0.26169,0.24862
